sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
129.168,-0.00559866,0.00397984,0.00560104,-0.00638344,0.0033125,0.00867153
129.172,-0.00521706,0.00376776,0.00559353,-0.00594211,0.00300806,0.00865262
129.176,-0.00485279,0.00355882,0.00558617,-0.00551804,0.00271275,0.00863369
129.18,-0.00450186,0.00335318,0.005579,-0.0051119,0.00242565,0.00861487
129.184,-0.00416326,0.00315221,0.00557193,-0.00472383,0.00214575,0.00859611
129.188,-0.00383803,0.00295637,0.00556485,-0.0043537,0.00187382,0.00857742
129.192,-0.00352344,0.00276647,0.00555774,-0.00399844,0.00160945,0.00855886
129.196,-0.00322174,0.00258201,0.00555067,-0.00365598,0.00135362,0.00854033
129.2,-0.00293406,0.00240301,0.00554362,-0.0033298,0.00110674,0.00852185
129.204,-0.00266092,0.00222804,0.00553646,-0.00301838,0.000869378,0.00850341
129.208,-0.00240236,0.00205657,0.00552916,-0.00271816,0.000641296,0.00848507
129.212,-0.00215874,0.00188884,0.00552167,-0.00242855,0.000423346,0.00846691
129.216,-0.00192876,0.00172506,0.00551413,-0.00215297,0.000214057,0.00844884
129.22,-0.00170971,0.0015657,0.00550653,-0.00189133,1.25E-05,0.00843087
129.224,-0.00150208,0.00141122,0.00549877,-0.00164371,-0.000181259,0.00841291
129.228,-0.00130426,0.001261,0.00549076,-0.00140985,-0.000366412,0.00839501
129.232,-0.00111514,0.00111513,0.00548251,-0.00118667,-0.000543644,0.00837711
129.236,-0.000937015,0.000973168,0.00547403,-0.000972992,-0.000712276,0.0083591
129.24,-0.000770554,0.000834739,0.00546531,-0.000770692,-0.000872462,0.00834102
129.244,-0.000615784,0.000699311,0.00545628,-0.000578243,-0.00102433,0.00832282
129.248,-0.000472463,0.000567111,0.005447,-0.000392911,-0.0011681,0.00830452
129.252,-0.000340039,0.00043743,0.00543759,-0.000215877,-0.0013037,0.00828616
129.256,-0.000216742,0.000309978,0.00542813,-4.71E-05,-0.00143259,0.00826774
129.26,-0.000100517,0.000184906,0.00541864,0.000114234,-0.00155564,0.00824926
129.264,8.01E-06,6.28E-05,0.00540904,0.000268378,-0.0016728,0.00823078
129.268,0.000110546,-5.63E-05,0.00539932,0.000415369,-0.00178542,0.00821238
129.272,0.00020719,-0.000172417,0.00538962,0.000556828,-0.00189437,0.00819399
129.276,0.000298125,-0.000285973,0.00537999,0.00069223,-0.00199969,0.00817562
129.28,0.000383536,-0.000397645,0.00537039,0.000821194,-0.00210186,0.00815731
129.284,0.000463661,-0.000508003,0.00536079,0.000945452,-0.00220142,0.00813903
129.288,0.000538714,-0.000617235,0.00535126,0.00106637,-0.00229892,0.00812087
129.292,0.000609124,-0.000725561,0.00534188,0.00118257,-0.0023947,0.00810281
129.296,0.000676231,-0.000832449,0.00533262,0.00129393,-0.0024895,0.00808488
129.3,0.000741344,-0.0009371,0.00532345,0.00140044,-0.00258374,0.00806705
129.304,0.000803948,-0.00103936,0.00531428,0.00150257,-0.00267699,0.00804927
129.308,0.000865381,-0.00113943,0.00530513,0.00160095,-0.00276959,0.00803148
129.312,0.000925112,-0.00123772,0.00529601,0.00169724,-0.00286135,0.00801362
129.316,0.000983155,-0.00133463,0.00528693,0.00179115,-0.00295201,0.00799562
129.32,0.0010394,-0.0014305,0.00527784,0.00188344,-0.00304107,0.00797746
129.324,0.00109389,-0.00152542,0.0052687,0.00197583,-0.00312825,0.00795929
129.328,0.00114671,-0.00161935,0.0052595,0.00206832,-0.00321332,0.00794125
129.332,0.00119837,-0.00171212,0.0052503,0.00215942,-0.00329723,0.00792332
129.336,0.00125068,-0.0018034,0.00524111,0.0022489,-0.00338105,0.00790548
129.34,0.00130493,-0.0018926,0.00523193,0.00233675,-0.00346565,0.00788774
129.344,0.00136079,-0.00197951,0.0052228,0.00242316,-0.00355095,0.00787011
129.348,0.00141878,-0.00206406,0.00521377,0.00250891,-0.00363745,0.00785258
129.352,0.00147786,-0.00214632,0.00520484,0.00259491,-0.00372509,0.00783509
129.356,0.00153769,-0.00222635,0.00519589,0.00268027,-0.00381378,0.00781763
129.36,0.00159844,-0.00230467,0.00518689,0.00276503,-0.00390288,0.00780024
